"BAU","plus1","diff","year","SCC_j_1.5","SCC_j_3"
367922226164.158,367922226164.158,0,1,0,0
377881525365.634,377881525365.642,0.00799560546875,2,0.00776102838578951,0.00753662500589122
388328167112.604,388328167112.621,0.01702880859375,3,0.0162849390413663,0.0155837721532917
399273169619.588,399273169619.614,0.02606201171875,4,0.0245552164509541,0.0231557598547363
410728106867.204,410728106867.239,0.03497314453125,5,0.0324641825230366,0.0301681416901932
422705111445.668,422705111445.713,0.04498291015625,6,0.0411387692801313,0.0376724790756746
435216878023.232,435216878023.286,0.05401611328125,7,0.0486699651936238,0.0439200431847454
448276667376.391,448276667376.455,0.06402587890625,8,0.0568364849162131,0.0505426200436596
461898310933.276,461898310933.35,0.073974609375,9,0.0646976193310545,0.0566953783935837
476096215793.594,476096215793.678,0.083984375,10,0.0723665839141678,0.0624922623839046
490885370198.289,490885370198.383,0.093994140625,11,0.0797947497048763,0.0679033670631161
506281349429.848,506281349429.953,0.10491943359375,12,0.0877532945702018,0.073588379763899
522300322130.371,522300322130.487,0.11602783203125,13,0.0956100682765806,0.079009307698183
538959057029.248,538959057029.376,0.12799072265625,14,0.103909175713062,0.0846169457276394
556274930075.923,556274930076.062,0.1390380859375,15,0.111209822276889,0.0892432566021559
574265931975.897,574265931976.048,0.15087890625,16,0.118897261303654,0.094022746200691
592950676130.043,592950676130.207,0.1639404296875,17,0.127280933195281,0.0991866560997958
612348406978.664,612348406978.84,0.176025390625,18,0.134643860827421,0.103396365256675
632479008752.596,632479008752.786,0.1900634765625,19,0.14323325656641,0.108390544890889
653363014634.215,653363014634.418,0.203125,20,0.150814303701704,0.112465387569099
675021616331.481,675021616331.698,0.217041015625,21,0.158765057776164,0.116670240791786
697476674068.295,697476674068.525,0.22998046875,22,0.165744079998167,0.120025081990087
720750726994.406,720750726994.651,0.2449951171875,23,0.173955617204942,0.124137004284472
744867004018.066,744867004018.326,0.2598876953125,24,0.181802857009983,0.127847524983742
769849435064.48,769849435064.754,0.2740478515625,25,0.188875377550649,0.130886780150442
795722662762.993,795722662763.284,0.291015625,26,0.197605582226841,0.134942410914721
822512054565.842,822512054566.149,0.3070068359375,27,0.20538319473853,0.138211117584269
850243715301.166,850243715301.49,0.323974609375,28,0.213531421847656,0.141601770375282
878944500162.945,878944500163.285,0.33984375,29,0.220680552237862,0.144211459063361
908642028140.46,908642028140.818,0.35791015625,30,0.228977471250712,0.147454245471269
939364695889.896,939364695890.271,0.375,31,0.236365429768408,0.149995179435403
971141692050.723,971141692051.117,0.3939208984375,32,0.244622088548931,0.152974073383787
1004003012009.59,1004003012010,0.41015625,33,0.250940026507992,0.154639671512369
1037979473114.51,1037979473114.95,0.4400634765625,34,0.265258853964729,0.161082991158717
1073102730342.44,1073102730342.9,0.4598388671875,35,0.27308270611702,0.163419099065453
1109405292423.14,1109405292423.62,0.47998046875,36,0.280831645427983,0.165608825112658
1146920538422.92,1146920538423.41,0.489990234375,37,0.282451484284042,0.164138367786894
1185682734791.6,1185682734792.11,0.510009765625,38,0.289646901200166,0.165868513748879
1225727052876.61,1225727052877.14,0.52978515625,39,0.29643135429277,0.167281541702523
1267089586908.15,1267089586908.71,0.56005859375,40,0.308739200811611,0.171689793148221
1309807372459.77,1309807372460.35,0.580078125,41,0.315049472012398,0.172647492623294
1353918405388.92,1353918405389.53,0.60986328125,42,0.326331285385451,0.176225620514608
1399461661262.38,1399461661263.01,0.6298828125,43,0.332062582595915,0.176709173524329
1446477115271.62,1446477115272.28,0.659912109375,44,0.34275219030693,0.179741437508942
1495005762643.69,1495005762644.37,0.68017578125,45,0.348056110687125,0.179864747511723
1545089639553.27,1545089639553.98,0.7099609375,46,0.357928689852556,0.182272906057364
1596771844542.09,1596771844542.82,0.72998046875,47,0.362582846931225,0.181954030098262
1650096560451.91,1650096560452.67,0.76025390625,48,0.372039140433245,0.183980533729255
1705109076878.01,1705109076878.8,0.7900390625,49,0.380901334966505,0.185619908570711
